Rk,Team,G,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,GSW,82,43.1,87.1,12,31.2,31.1,55.8,17.8,22.6,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9
2,HOU,82,40.3,87.2,14.4,40.3,25.9,46.9,20.3,26.5,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3
3,DEN,82,41.2,87.7,10.6,28.8,30.6,58.9,18.7,24.2,11.8,34.6,46.4,25.3,6.9,3.9,15,19.1,111.7
4,CLE,82,39.9,84.9,13,33.9,26.9,51,17.5,23.3,9.3,34.4,43.7,22.7,6.6,4,13.7,18.1,110.3
5,WAS,82,41.3,87,9.2,24.8,32.1,62.3,17.3,22.1,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2
6,LAC,82,39.5,83.2,10.3,27.4,29.3,55.8,19.3,26,9,34,43,22.5,7.5,4.2,13,19.8,108.7
7,BOS,82,38.6,85.1,12,33.4,26.6,51.7,18.7,23.2,9.1,32.9,42,25.2,7.5,4.1,13.3,20.6,108
8,POR,82,39.5,86.1,10.4,27.7,29.2,58.4,18.5,23.7,10.1,33.5,43.7,21.1,7,5,13.7,21.2,107.9
9,PHX,82,39.9,88.5,7.5,22.6,32.4,65.9,20.4,26.3,11.9,33.1,45,19.6,8.2,4.9,15.4,24.8,107.7
10,TOR,82,39.2,84.4,8.8,24.3,30.3,60,19.7,24.7,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9
11,OKC,82,39.5,87.4,8.4,25.8,31,61.6,19.2,25.8,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6
12,BKN,82,37.8,85.2,10.7,31.6,27.1,53.6,19.4,24.6,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21,105.8
13,MIN,82,39.5,84.4,7.3,21,32.1,63.4,19.3,24.2,11.4,31,42.4,23.7,8,4.5,14,20.1,105.6
14,SAS,82,39.3,83.7,9.2,23.5,30.1,60.2,17.6,22,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3
15,IND,82,39.3,84.5,8.6,23,30.6,61.5,17.9,22.1,9,33,42,22.5,8.2,5,13.8,19.5,105.1
16,CHA,82,37.7,85.4,10,28.6,27.7,56.7,19.4,23.8,8.8,34.8,43.6,23.1,7,4.8,11.5,16.6,104.9
17,LAL,82,39.3,87.4,8.9,25.7,30.4,61.6,17,22.6,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6
18,NOP,82,39.1,87,9.4,26.8,29.8,60.2,16.7,22.3,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3
19,NYK,82,39.6,88.5,8.6,24.7,31,63.8,16.6,21.1,12,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3
20,MIL,82,38.8,81.9,8.8,23.7,30,58.2,17.2,22.4,8.8,31.6,40.4,24.2,8.1,5.3,14,20.2,103.6
21,MIA,82,39,85.8,9.9,27,29.2,58.8,15.2,21.6,10.6,33,43.6,21.2,7.2,5.7,13.4,20.5,103.2
22,ATL,82,38.1,84.4,8.9,26.1,29.2,58.3,18.1,24.9,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
23,CHI,82,38.6,87.1,7.6,22.3,31,64.8,18,22.5,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9
24,SAC,82,37.9,82.1,9,23.9,28.9,58.2,18.1,23.3,8.7,32.3,41.1,22.5,7.6,4,14.6,20.3,102.8
25,PHI,82,37.7,85.3,10.1,29.8,27.5,55.5,17,22,9.8,33,42.8,23.8,8.4,5.1,16.7,21.9,102.4
26,DET,82,39.9,88.8,7.7,23.4,32.2,65.5,13.9,19.3,11.1,34.6,45.7,21.1,7,3.8,11.9,17.9,101.3
27,ORL,82,38.3,87,8.5,26.1,29.7,60.9,16,21.4,9.8,33.3,43.2,22.2,7.1,4.8,13.3,19.3,101.1
28,UTA,82,37,79.5,9.6,26,27.3,53.5,17.1,22.9,9.4,33.8,43.2,20.1,6.7,5,13.6,18.8,100.7
29,MEM,82,36.4,83.6,9.4,26.5,27,57.1,18.3,23.4,10.8,32,42.8,21.3,8,4.2,12.9,22.4,100.5
30,DAL,82,36.2,82.3,10.7,30.2,25.5,52.2,14.8,18.5,7.9,30.7,38.6,20.8,7.5,3.7,11.9,19.1,97.9
